ID;Mövzu;Sual Tipi;Çətinlik Səviyyəsi;Sual;A;B;C;D;E;Doğru Cavab
126351;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Sorğuda aqreqat funksiyaların (SUM, AVG, COUNT) istifadəsi istifadəçiyə nə qazandırır?;Sahə adlarının simvol sayını qısaldır;Qruplaşdırılmış verilənlər üzərində cəm, orta qiymət, say kimi statistik yekun nəticələr əldə etməyə imkan verir;Cədvəli birbaşa dizayn (Design) rejiminə keçirir;formalara yeni idarəetmə düymələri əlavə edir;Verilənləri avtomatik olaraq arxiv qovluğuna köçürür;B
126352;İnformatika (Verilənlər bazası);Çoxseçimli;Çətin;SQL sorğusunun sintaksis və ya məntiqi cəhətdən səhv qurulması hansı fəsada yol açar?;Sistem tərəfindən bütün daxili cədvəllərin dondurulmasına;Sistem xətası (Error) mesajının alınmasına və ya tamamilə yanlış, məntiqsiz bir verilənlər yığınının qayıtmasına;Kompüterin ekranının fiziki olaraq sönməsinə;formalarda dizayn rejiminin funksionallığının itməsinə;Sayğac sahəsinin daxili iş prinsipinin sıradan çıxmasına;B
126353;İnformatika (Verilənlər bazası);Çoxseçimli;Çətin;Sorğuda bir-birini təkzib edən ziddiyyətli şərtlərin yazılması (məsələn: eyni sahə üçün VƏ operatoru ilə həm `Bal > 600` həm də `Bal < 200`) nəticədə nə verər?;Bazada olan bütün tələbələrin siyahısını;Heç bir qeyd şərtə uyğun gəlmədiyi üçün boş bir nəticə cədvəli qayıdar;Sistem səhvən bazadakı hər bir şəxsə maksimum bal yazar;Cədvəl daxilindəki bütün verilənlər tam silinər;Verilənlər bazası faylı təhlükəsizlik səbəbindən bloklanar;B
126354;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Sorğular həddən artıq Çətin, çoxlu sayda iç-içə şərtlər və cədvəllərlə qurulduqda sistemdə nə baş verə bilər?;Sistem verilənləri avtomatik olaraq sadələşdirər;Sorğunun icra müddəti uzanar, kompüterin resursları (RAM və CPU) həddən artıq yüklənər və ləngimələr olar;Cədvəllər arasındakı xarici açarlar sistemdən silinər;Forma dizaynı interfeysi daha sürətli işləməyə başlayar;Baza proqramında heç bir dəyişiklik qeydə alınmaz;B
126355;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Sorğular düzgün optimallaşdırılmazsa (məsələn, tez-tez axtarılan sahələr indeksləşdirilməzsə) nə olar?;Bazadakı məlumatların tipi avtomatik dəyişər;Böyük verilənlər bazalarında sadə bir axtarış sorğusu belə çox uzun vaxt aparar və sistem performansını aşağı salar;Cədvəl sətirlərinin yerləşmə sırası tamamilə qarışar;formalarda təyin olunmuş daxiletmə maskası pozular;Hesabatlar printerdən rəngsiz şəkildə çap olunar;B
126357;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Sorğuların düzgün tətbiqi idarəçilər və analitiklər üçün nəyi asanlaşdırır?;Klaviaturada sürətli mətn yazma texnikasını;Böyük verilənlər əsasında analitik hesabatlar hazırlamağı və düzgün strateji qərarlar qəbul etməyi;formalara yeni qrafik şəkillər əlavə etməyi;Cədvəlin strukturunu hər iş günü dəyişdirməyi;Kompüterdə olan digər proqramları sistemdən silməyi;B
126358;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Müasir texnologiyalar dövründə sorğular real həyatda ən geniş harada istifadə olunur?;Yalnız sadə lokal mətn redaktorlarında;Qlobal axtarış sistemlərində, elektron ticarət saytlarında, bankçılıq və analitika sistemlərində;Yalnız kompüterin qrafik kartının sazlanma panellərində;Faylların adlarının sistem daxilində dəyişdirilməsində;Monitorun parlaqlıq və rəng dərəcəsinin tənzimlənməsində;B
126359;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Effektiv və sürətli işləyən sorğu qurmaq istifadəçidən nə tələb edir?;Relyasiya modelini düzgün anlamağı, şərtləri məntiqi formalaşdırmağı və yalnız lazım olan sahələrlə işləməyi;Hər gün verilənlər bazası proqramını yenidən yükləməyi;formalarda yalnız rəngli düymələrdən istifadə etməyi;Cədvəlin sahə adlarını mütləq ingilis dilində yazmağı;Kompüterin əməli yaddaşını tamamilə silməyi;A
126360;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Verilənlər bazası memarlığında "Forma" (Form) obyektinin mahiyyəti nədir?;Məlumatların kağız üzərində olan çap variantıdır;İstifadəçinin cədvəllərlə birbaşa deyil, daha rahat, vizual və təhlükəsiz bir interfeys vasitəsilə işləməsini təmin edən obyektdir;Cədvəllər arasında əlaqə quran relyasion xətlər yığınından ibarətdir;SQL əmrlərinin ardıcıl siyahısını göstərən sənəddir;Fayl sisteminin bir növüdür;B
126361;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Verilənlər bazasında formaların yaradılmasında əsas strateji məqsəd nədir?;Cədvəllərin daxili strukturunu istifadəçidən gizlətməklə verilənlərin daxil edilməsini, redaktəsini rahatlaşdırmaq və təhlükəsizliyi təmin etmək;Baza faylının diskdəki həjmini süni şəkildə böyütmək;Sorğularda icra olunan riyazi hesablamaları sürətləndirmək;İki cədvəli birbaşa çoxa-çox əlaqələndirmək;Kompüteri yerli şəbəkəyə avtomatik qoşmaq;A
126362;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Verilənlər bazasında bir forma obyekti hansı digər obyektlərin bazisində yaradıla bilər?;Yalnız sistem makroslarının və kodların;Mövcud cədvəllər və ya əvvəlcədən hazırlanmış sorğular əsasında;Yalnız hazır hesabatların (reports) əsasında;Əməliyyat sisteminin fayl qovluqları üzərində;Heç bir obyekt olmadan tamamilə müstəqil;B
126363;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Forma vizual istifadəçi interfeysi olaraq cədvəllər üzərində hansı əməliyyatların aparılmasını dəstəkləyir?;Yalnız cədvəlin strukturunu tamamilə silməyi;Yeni qeyd daxil etmək, mövjud qeydləri redaktə etmək, silmək və daxili axtarış aparmaq;Verilənlər bazası faylının genişlənməsini dəyişdirməyi;Cədvəllər arasında yeni xarici açarlar təyin etməyi;Kompüterin iş masasının fon şəklini dəyişdirməyi;B
126364;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Forma pəncərəsində verilənlər bazasının sahələri istifadəçiyə hansı şəkildə təqdim olunur?;Yalnız Çətin kod sətirləri şəklində;Nəzarət elementləri (Mətn qutusu, düymələr, açılan siyahılar) vasitəsilə vizual və erqonomik şəkildə;Yalnız gizli təhlükəsizlik simvolları ilə;SQL cədvəlinin çiy (raw) kod formatında;Heç bir element olmadan, tamamilə ağ səhifə kimi;B
126365;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Forma dizaynı (Form Design) rejiminin əsas təyinatı nədir?;Bazanın bütün daxili kodlarını sistemdən silmək üçün;İnterfeys elementlərini istifadəçi üçün vizual olaraq rahat, erqonomik və anlaşılan şəkildə yerləşdirmək üçün;Cədvəlin sütun tiplərini proqram daxilində dəyişmək üçün;Sorğuda Çətin şərtlər yazmaq üçün;Kompüterin operativ yaddaşını artırmaq üçün;B
126366;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Düymələr (Buttons) idarəetmə elementi olaraq formaya nə üçün əlavə olunur?;Şriftlərin vizual ölçüsünü dəyişmək üçün;Müəyyən makrosları və ya funksiyaları (Məsələn: Yadda saxla, Sil, Növbəti) bir kliklə işə salmaq üçün;Cədvəldə yeni xarici açar yaratmaq üçün;Referensial bütövlük qaydalarını aktiv etmək üçün;Kompüterin monitorunu avtomatik söndürmək üçün;B
126367;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Formada tətbiq olunan "Açılan siyahı" (Combo Box) elementi bazanın işində nə yaradır?;İstifadəçiyə sərbəst və səhv mətn yazmağa geniş imkan yaradır;Öncədən təyin olunmuş düzgün variantları təqdim edərək daxiletməni sürətləndirir və orfoqrafik səhvlərin qarşısını alır;Cədvəldə sətirləri istifadəçidən xəbərsiz silir;Sorğularda riyazi və məntiqi səhvlər formalaşdırır;Yeni bir boş forma dizaynı yaradır;B
126368;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Məlumatların idarə edilməsində formadan istifadə etməyin cədvələ birbaşa yazmaqla müqayisədə fundamental üstünlüyü nədir?;Heç bir üstünlüyü yoxdur, sadəcə vizual vaxt itkisidir;İstifadəçi xətalarını daxiletmə anında bloklayır, cədvəlin strukturunu birbaşa müdaxilədən qoruyur;Bazanın yaddaş diskində tutduğu fiziki yeri kəskin azaldır;Kompüterin şəbəkə və internet sürətini artırır;SQL dilinə olan bütün ehtiyacları tamamilə aradan qaldırır;B
126369;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Formadan düzgün tənzimlənmiş nəzarət elementləri (Validation rules) ilə istifadə bazaya məlumat daxil edərkən nəyi azaldır?;İşin ümumi icra sürətini;İnsan amili qaynaqlı mexaniki və məntiqi səhvlərin (yanlış verilənlər girişinin) sayını;Cədvəldə mövjud olan sahələrin ümumi sayını;Sorğuların daxili çeşidlənmə variantlarını;Kompüterin ümumi şəbəkə təhlükəsizliyini;B
126370;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Xüsusi dizayn edilmiş formalarla işləmək operatorların fəaliyyətində nəyi yaxşılaşdırır?;İnternetdə qlobal axtarış etmək bacarıqlarını;Verilənlərin daxil edilmə səmərəliliyini, vaxta qənaəti və məlumatların dürüstlük keyfiyyətini;Kompüterin qrafik redaktor proqramlarını idarə etməyi;Alqoritmik düşüncə templərini sıfırlamağı;Sənədlərin kağız variantını tamamilə ləğv etməyi;B
126371;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Forma vizual görünüşü və iş prinsiplərinə görə verilənlər bazası cədvəlindən nə ilə fərqlənir?;Cədvəl verilənləri sətir və sütunlarda saxlayır; forma isə həmin verilənləri rahat idarə etmək üçün istifadəçiyə vizual pəncərə (interfeys) təqdim edir;Cədvəl operativ yaddaşda qalmır, forma isə daimi yaddaşda saxlanılır;Aralarında funksional olaraq heç bir fərq yoxdur;Cədvəldə şərt yazmaq mümkündür, formada isə bu tam qeyri-mümkündür;Forma yalnız riyazi ədədlərlə işləyir, cədvəl isə yox;A
126372;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Forma səhv, nizamsız və erqonomik qaydalara zidd qurularsa hansı problem baş verər?;Cədvəllər arasındakı referensial bütövlük avtomatik pozular;İstifadəçi çaşbaş qalar, məlumat daxiletmə sürəti kəskin düşər və yanlış məlumatların ötürülməsi riski artar;Verilənlər bazası faylı sistemdən birdəfəlik silinər;Sorğular cədvəllərdə daha sürətli işləməyə başlayar;Sayğac sahəsi mətndən ədəd tipinə çevrilər;B
126373;İnformatika (Verilənlər bazası);Çoxseçimli;Çətin;Formada nəzarət elementləri (Controls) sahələrin tiplərinə uyğun düzgün seçilməzsə (məsələn, Tarix sahəsinə düz mətn qutusu qoyularsa) nə baş verər?;Sistem daxili intellekti ilə problemi avtomatik həll edər;İstifadəçi verilənləri standart formatda daxil edə bilməz, tip uyğunsuzluğu və verilənlər bazası xətaları yaranar;Cədvəllər arasında yeni birə-çox əlaqəsi avtomatik qurular;Formanın dizayn rəng palitrası tamamilə sıfırlanar;Heç bir funksional və ya məntiqi problem yaranmaz;B
126374;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Formaların vizual dizayn cəhətdən həddən artıq Çətin, lazımsız qrafik elementlərlə yüklənmiş olması nə yaradar?;Operatorun işini daha səmərəli və sürətli edər;İstifadəçinin diqqətini dağıdar, vizual yorğunluq yaradar və iş səmərəliliyini kəskin aşağı salar;Sorğunun nəticələrini daha dürüst və dəqiq edər;Cədvəlin diskdə tutduğu ümumi ölçünü kiçildər;Bazaya daxili şəbəkədən girişi sürətləndirər;B
126375;İnformatika (Verilənlər bazası);Çoxseçimli;Çətin;Formalar real iş mühitində istifadəyə verilmədən öncə düzgün test edilməzsə nə baş verə bilər?;Cədvəldəki əsas açar dəyərləri avtomatik olaraq dəyişər;Gizli qalan daxiletmə xətaları üzə çıxar, məlumat itkisi və ya cədvəllərdə verilənlərin korlanması baş verər;Sistemdəki bütün hesabatlar avtomatik silinər;Sorğular şərtləri qəbul etməyi tamamilə dayandırar;Baza strukturunda heç bir risk və ya mənfi hal yaranmaz;B
126376;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Verilənlər bazasında formalar mövzusunu dərindən bilmək şagirdlərdə hansı müasir sahə üzrə bacarıqları inkişaf etdirir?;Yalnız riyazi hesablama və cəbr texnikasını;İstifadəçi interfeysi dizaynı (UI/UX) anlayışını və insan-kompüter qarşılıqlı əlaqəsi mədəniyyətini;Kompüter şəbəkələrinin Çətin topologiyasını qurmağı;Proqramlaşdırmada iç-içə çətin dövrlərin yazılmasını;Lazer printerlərin daxili mexaniki quruluşunu;B
126377;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Verilənlər bazası formaları ilə praktiki laborator işlər yerinə yetirmək şagirdlərdə nəyi formalaşdırır?;İnformasiyanın vizual təqdimatı və onun daxil edilməsi prosesini proqram mühitində düzgün modelləşdirmək bacarığını;Əməliyyat sisteminin loqolarını və rənglərini dəyişmək vərdişini;Cədvəldə bütün sətirləri qısa yolla əllə silmək vərdişini;Mətn sənədində çətin makroslar yazmaq bacarığını;Heç bir rəqəmsal bacarıq formalaşdırmır;A
126378;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Elektron formalar müasir idarəetmədə və internet dünyasında ən geniş harada tətbiq olunur?;Yalnız kağız üzərində qələmlə aparılan qeydiyyat işlərində;Veb-saytlarda qeydiyyatdan keçərkən, onlayn anketlərdə, e-dövlət xidmətlərində və bank proqramlarında;Yalnız monitorların zavod ekran sazlama panellərində;Faylları yerli arxiv qovluğuna köçürən zaman;Kompüterin daxili səs tənzimləyicilərində;B
126379;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;İstifadəçilər üçün effektiv və rahat bir forma hazırlamaq tərtibatçıdan ilk növbədə nə tələb edir?;Yalnız rəngarəng dizayn və şəkil redaktə proqramlarından istifadə etməyi;İstifadəçi ehtiyaclarını düzgün analiz etməyi, interfeysdə sadəliyi, erqonomikliyi və verilənlərin daxiletmə qaydalarını bilməyi;Kompüter monitorunun ekran ölçüsünün maksimal dərəcədə böyük olmasını;Cədvəllər arasındakı relyasion əlaqələri tamamilə silməyi;Kompüterin daimi yaddaşını formatlamağı;B
126380;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;İnformasiya sistemlərində və verilənlər bazasında "Axtarış" (Search) funksiyasının elmi-praktiki tərifi hansıdır?;Cədvələ yeni bir hesablama məlumat sütunu əlavə etməkdir;Müəyyən edilmiş açar sözlər, ifadələr və ya meyarlar əsasında böyük verilənlər bazasından lazımi qeydlərin tapılması prosesidir;Bütün məlumat sətirlərinin əlifba sırası ilə yenidən düzülməsidir;Forma pəncərəsinin arxa fon şəkil formatının dəyişdirilməsidir;Faylın kompüter yaddaşından geri dönməz şəkildə silinməsidir;B
126381;İnformatika (Verilənlər bazası);Çoxseçimli;Orta;Böyük verilənlər bazalarında mükəmməl bir axtarış sisteminin qurulmasında əsas strateji məqsəd nədir?;Məlumatları adi istifadəçilərdən tamamilə gizlətmək;İstənilən informasiyanın tapılma vaxtını minimuma endirmək və lazımi qeydə sürətli keçidi təmin etmək;Cədvəlin struktur tiplərini avtomatik dəyişdirmək;formalarda açılan siyahıların ümumi sayını süni şəkildə artırmaq;Yeni bir boş verilənlər bazası faylı formalaşdırmaq;B